Source,Target,Symbol,Compare Length,Score,Relationship
5217,401,ASA,2427,0.024226866987589555,9.98222784820336e-06
5217,402,ASB,2427,0.08383176430384116,3.454131203289706e-05
5217,403,ASC,1649,0.06365338281325379,3.8601202433750025e-05
5217,404,ASFI,2427,0.04924004177594018,2.0288439133061467e-05
5217,405,ASGN,2427,0.17073270547655633,7.034722104514064e-05
5217,406,ASH,2427,0.1088487827637977,4.484910703081899e-05
5217,407,ASIX,862,0.053021442955102124,6.150979461148738e-05
5217,408,ASLN,451,0.022203058807124334,4.923072906235994e-05
5217,409,ASM,2427,0.09914126654106624,4.084930636220282e-05
5217,410,ASMB,2307,0.14307548945073437,6.201798415723207e-05
5217,411,ASML,2427,0.0988236862974292,4.0718453356995966e-05
5217,412,ASNA,2427,0.14369562661788868,5.9207097906010994e-05
5217,413,ASND,1274,0.037997148520650094,2.9825077331750466e-05
5217,414,ASPN,1431,0.039843230667208594,2.784292848861537e-05
5217,415,ASPS,2427,0.13954762004698526,5.749798930654522e-05
5217,416,ASPU,1740,0.006721557415394807,3.862964031836096e-06
5217,417,ASR,2427,0.055129718264918456,2.2715170278087537e-05
5217,418,ASRT,2427,0.15972078449422306,6.580996476894234e-05
5217,419,ASRV,2427,0.023671557678754417,9.753423023796628e-06
5217,420,ASRVP,2427,0.008312462489374091,3.424994845230363e-06
5217,421,ASTC,2427,0.05939203239563667,2.4471377171667352e-05
5217,422,ASTE,2427,0.14113122569835287,5.815048442453765e-05
5217,423,ASUR,2427,0.09949772966819599,4.0996180333002056e-05
5217,424,ASX,2427,0.06722492755130667,2.769877525805796e-05
5217,425,ASYS,2427,0.21612066529784363,8.90484817873274e-05
5217,426,AT,1837,0.07512385299587254,4.089485737390993e-05
5217,427,ATAX,2427,0.03247192277251833,1.3379449020403101e-05
5217,430,ATEC,2427,0.14280606635077353,5.884057121993141e-05
5217,431,ATEN,1489,0.08231135268986585,5.527961899923831e-05
5217,432,ATEX,1270,0.06842869203844255,5.388085987278941e-05
5217,433,ATGE,2427,0.10894792074094756,4.4889954981849015e-05
5217,434,ATH,862,0.017495910826062333,2.0296880308656997e-05
5217,435,ATHE,2427,0.1061817890664147,4.375022211224339e-05
5217,436,ATHM,1557,0.12607852866848998,8.097529137346819e-05
5217,437,ATHX,2427,0.14408671885570215,5.936824015480105e-05
5217,438,ATI,2427,0.20356505735349226,8.387517814317769e-05
5217,440,ATKR,929,0.03644787028753748,3.923344487356026e-05
5217,441,ATLC,2427,0.01817695244305907,7.489473606534433e-06
5217,442,ATLO,2427,0.0934893296384951,3.852053137144421e-05
5217,443,ATNI,2427,0.07774721838278333,3.203428857963878e-05
